"CTCAE Term","Definition"
"Blood bilirubin increased","A finding based on laboratory test results that indicate an abnormally high level of bilirubin in the blood. Excess bilirubin is associated with jaundice."
"White blood cell decreased","A finding based on laboratory test results that indicate an decrease in number of white blood cells in a blood specimen."
"Hyperkalemia","A disorder characterized by laboratory test results that indicate an elevation in the concentration of potassium in the blood; associated with kidney failure or sometimes with the use of diuretic drugs."
"Anemia","A disorder characterized by a reduction in the amount of hemoglobin in 100 ml of blood. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability."
"Fever","A disorder characterized by elevation of the body's temperature above the upper limit of normal."
"Alanine aminotransferase increased","A finding based on laboratory test results that indicate an increase in the level of alanine aminotransferase (ALT or SGPT) in the blood specimen."
"Aspartate aminotransferase increased","A finding based on laboratory test results that indicate an increase in the level of aspartate aminotransferase (AST or SGOT) in a blood specimen."
"Hyponatremia","A disorder characterized by laboratory test results that indicate a low concentration of sodium in the blood."
"Hypernatremia","A disorder characterized by laboratory test results that indicate an elevation in the concentration of sodium in the blood."
"Platelet count decreased","A finding based on laboratory test results that indicate a decrease in number of platelets in a blood specimen."
"Electrocardiogram QT corrected interval prolonged","A finding of a cardiac dysrhythmia characterized by an abnormally long corrected QT interval."
"Conjunctivitis","A disorder characterized by inflammation, swelling and redness to the conjunctiva of the eye."
"Myelitis","A disorder characterized by inflammation involving the spinal cord. Symptoms include weakness, paresthesia, sensory loss, marked discomfort and incontinence."
"Kidney anastomotic leak","A finding of leakage of urine due to breakdown of a kidney anastomosis (surgical connection of two separate anatomic structures)."
"Flu like symptoms","A disorder characterized by swelling due to an accumulation of excessive fluid in the neck."
"Non-cardiac chest pain","A disorder characterized by a sensation of marked discomfort in the chest unrelated to a heart disorder."
"Pain","A disorder characterized by the sensation of marked discomfort, distress or agony."
"Myalgia","A disorder characterized by marked discomfort sensation originating from a muscle or group of muscles."
"Myositis","A disorder characterized by inflammation involving the skeletal muscles."
